monat;SPIEGEL_avg_words;SPIEGEL_avg_chars;STERN_avg_words;STERN_avg_chars;SPIEGEL_anzahl;STERN_anzahl;monat_dt
1979-06;880.1725239616613;6365.345047923322;;;313;0;1979-06-01
1979-07;814.6904176904177;5882.970515970516;;;407;0;1979-07-01
1979-08;854.4772036474164;6141.0273556231;;;329;0;1979-08-01
1979-09;856.9121140142518;6142.928741092636;;;421;0;1979-09-01
1979-10;936.2757475083057;6733.016611295681;;;301;0;1979-10-01
1979-11;845.5880597014925;6084.70447761194;;;335;0;1979-11-01
1979-12;952.1269841269841;6788.1640211640215;;;378;0;1979-12-01
1980-01;757.9758064516129;5451.706989247312;;;372;0;1980-01-01
1980-02;739.09828009828;5343.97542997543;;;407;0;1980-02-01
1980-03;830.8227272727273;5946.731818181818;;;440;0;1980-03-01
1980-04;811.7683615819209;5802.169491525424;;;354;0;1980-04-01
1980-05;855.6954022988506;6161.433908045977;;;348;0;1980-05-01
1980-06;827.1300448430493;5952.780269058296;;;446;0;1980-06-01
1980-07;775.7315789473685;5555.739473684211;;;380;0;1980-07-01
1980-08;806.0440528634361;5823.806167400881;;;454;0;1980-08-01
1980-09;837.9889807162534;6046.617079889807;;;363;0;1980-09-01
1980-10;775.6129032258065;5582.459677419355;;;372;0;1980-10-01
1980-11;747.8807531380753;5364.602510460251;;;478;0;1980-11-01
1980-12;764.2364672364672;5490.991452991453;;;351;0;1980-12-01
1981-01;782.7722222222222;5632.7;;;360;0;1981-01-01
1981-02;797.7728459530026;5745.757180156658;;;383;0;1981-02-01
1981-03;802.6666666666666;5779.5161290322585;;;465;0;1981-03-01
1981-04;826.9272237196766;5947.167115902965;;;371;0;1981-04-01
1981-05;784.7505376344086;5658.591397849463;;;465;0;1981-05-01
1981-06;804.9184782608696;5815.907608695652;;;368;0;1981-06-01
1981-07;764.3994974874372;5520.118090452262;;;398;0;1981-07-01
1981-08;806.1618625277162;5814.8137472283815;;;451;0;1981-08-01
1981-09;845.2135135135135;6099.121621621622;;;370;0;1981-09-01
1981-10;773.0565552699229;5579.215938303342;;;389;0;1981-10-01
1981-11;754.6168958742633;5450.019646365422;;;509;0;1981-11-01
1981-12;787.4942857142858;5653.282857142857;;;350;0;1981-12-01
1982-01;782.0704845814978;5640.799559471366;;;454;0;1982-01-01
1982-02;845.1088825214899;6113.060171919771;;;349;0;1982-02-01
1982-03;833.3972972972973;5947.994594594595;;;370;0;1982-03-01
1982-04;861.9688385269122;6220.320113314448;;;353;0;1982-04-01
1982-05;795.3523206751055;5764.202531645569;;;474;0;1982-05-01
1982-06;798.9758713136729;5716.364611260054;;;373;0;1982-06-01
1982-07;800.5765027322404;5773.497267759562;;;366;0;1982-07-01
1982-08;823.4310722100656;5919.439824945295;;;457;0;1982-08-01
1982-09;873.2478632478633;6237.509971509971;;;351;0;1982-09-01
1982-10;871.467991169978;6229.523178807947;;;453;0;1982-10-01
1982-11;816.5283018867924;5848.88679245283;;;371;0;1982-11-01
1982-12;751.1311053984576;5391.2107969151675;;;389;0;1982-12-01
1983-01;844.1594202898551;6088.850241545893;;;414;0;1983-01-01
1983-02;879.7820895522389;6353.468656716418;;;335;0;1983-02-01
1983-03;804.5;5798.107894736842;;;380;0;1983-03-01
1983-04;775.7029177718833;5601.779840848806;;;377;0;1983-04-01
1983-05;859.1046228710462;6228.92700729927;;;411;0;1983-05-01
1983-06;967.54;6996.096666666666;;;300;0;1983-06-01
1983-07;955.217277486911;6932.565445026178;;;382;0;1983-07-01
1983-08;927.6384364820847;6735.019543973941;;;307;0;1983-08-01
1983-09;993.5782747603834;7178.325878594249;;;313;0;1983-09-01
1983-10;998.8341584158416;7167.138613861386;;;404;0;1983-10-01
1983-11;988.2866043613707;7169.2990654205605;;;321;0;1983-11-01
1983-12;941.2944785276073;6820.837423312883;;;326;0;1983-12-01
1984-01;910.3182957393484;6600.401002506265;;;399;0;1984-01-01
1984-02;923.7088607594936;6690.724683544304;;;316;0;1984-02-01
1984-03;918.7752161383286;6638.236311239193;;;347;0;1984-03-01
1984-04;992.934725848564;7156.360313315927;;;383;0;1984-04-01
1984-05;938.8344594594595;6811.010135135135;;;296;0;1984-05-01
1984-06;986.277027027027;7113.256756756757;;;296;0;1984-06-01
1984-07;952.9813829787234;6874.215425531915;;;376;0;1984-07-01
1984-08;935.0626959247649;6737.404388714734;;;319;0;1984-08-01
1984-09;966.6395061728396;6957.834567901235;;;405;0;1984-09-01
1984-10;989.7155963302753;7071.220183486239;;;327;0;1984-10-01
1984-11;913.8081395348837;6559.220930232558;;;344;0;1984-11-01
1984-12;931.8923076923077;6751.284615384616;;;390;0;1984-12-01
1985-01;884.5625;6432.35625;;;320;0;1985-01-01
1985-02;932.5422740524781;6718.297376093295;;;343;0;1985-02-01
1985-03;945.2337349397591;6769.978313253012;;;415;0;1985-03-01
1985-04;962.031847133758;6914.745222929936;;;314;0;1985-04-01
1985-05;922.9662576687117;6682.960122699386;;;326;0;1985-05-01
1985-06;908.0681265206813;6543.79805352798;;;411;0;1985-06-01
1985-07;983.07;7062.5;;;300;0;1985-07-01
1985-08;969.4126984126984;6990.523809523809;;;315;0;1985-08-01
1985-09;942.9380952380952;6782.97380952381;;;420;0;1985-09-01
1985-10;977.8761329305136;7040.36253776435;;;331;0;1985-10-01
1985-11;1018.4485981308411;7319.0342679127725;;;321;0;1985-11-01
1985-12;904.812030075188;6542.077694235589;;;399;0;1985-12-01
1986-01;881.041055718475;6354.011730205279;;;341;0;1986-01-01
1986-02;845.6898395721926;6078.4304812834225;;;374;0;1986-02-01
1986-03;837.0086206896551;6068.353448275862;;;464;0;1986-03-01
1986-04;884.3468208092486;6365.482658959538;;;346;0;1986-04-01
1986-05;911.6831395348837;6585.197674418605;;;344;0;1986-05-01
1986-06;829.171875;6007.881696428572;;;448;0;1986-06-01
1986-07;859.3584337349398;6225.78313253012;;;332;0;1986-07-01
1986-08;837.1383219954648;6048.585034013606;;;441;0;1986-08-01
1986-09;959.0758017492711;6849.565597667638;;;343;0;1986-09-01
1986-10;942.9452449567723;6759.2132564841495;;;347;0;1986-10-01
1986-11;875.1222222222223;6287.0488888888885;;;450;0;1986-11-01
1986-12;861.1807580174927;6221.953352769679;;;343;0;1986-12-01
1987-01;911.6547619047619;6552.883928571428;;;336;0;1987-01-01
1987-02;878.1640625;6259.161458333333;;;384;0;1987-02-01
1987-03;865.3450549450549;6233.375824175824;;;455;0;1987-03-01
1987-04;836.3253968253969;6037.320105820106;;;378;0;1987-04-01
1987-05;845.3928571428571;6114.180672268908;;;476;0;1987-05-01
1987-06;819.0375335120643;5894.887399463807;;;373;0;1987-06-01
1987-07;789.5812672176309;5698.168044077135;;;363;0;1987-07-01
1987-08;833.7353579175705;5937.90672451193;;;461;0;1987-08-01
1987-09;895.9065155807366;6352.583569405099;;;353;0;1987-09-01
1987-10;921.11051212938;6574.3881401617255;;;371;0;1987-10-01
1987-11;843.1915322580645;6117.118951612903;;;496;0;1987-11-01
1987-12;845.7894736842105;6131.060941828255;;;361;0;1987-12-01
1988-01;804.0488322717622;5817.866242038216;;;471;0;1988-01-01
1988-02;788.3553299492386;5721.324873096447;;;394;0;1988-02-01
1988-03;844.1955922865013;6089.504132231405;;;363;0;1988-03-01
1988-04;853.4933687002653;6137.084880636605;;;377;0;1988-04-01
1988-05;853.6892177589853;6161.249471458774;;;473;0;1988-05-01
1988-06;858.042328042328;6192.132275132275;;;378;0;1988-06-01
1988-07;867.8273542600897;6211.313901345292;;;446;0;1988-07-01
1988-08;903.0347826086957;6468.684057971014;;;345;0;1988-08-01
1988-09;810.0501253132832;5852.37343358396;;;399;0;1988-09-01
1988-10;838.200408997955;6063.535787321063;;;489;0;1988-10-01
1988-11;812.0862068965517;5873.906403940887;;;406;0;1988-11-01
1988-12;841.6278481012658;6058.663291139241;;;395;0;1988-12-01
1989-01;809.8645418326694;5823.274900398406;;;502;0;1989-01-01
1989-02;816.1167512690355;5868.081218274112;;;394;0;1989-02-01
1989-03;835.7195767195767;6063.740740740741;;;378;0;1989-03-01
1989-04;806.101030927835;5826.60412371134;;;485;0;1989-04-01
1989-05;862.520618556701;6239.94587628866;;;388;0;1989-05-01
1989-06;808.4567901234568;5843.2962962962965;;;405;0;1989-06-01
1989-07;841.0703624733476;6060.226012793177;;;469;0;1989-07-01
1989-08;870.4527777777778;6231.741666666667;;;360;0;1989-08-01
1989-09;828.82722513089;5964.523560209424;;;382;0;1989-09-01
1989-10;820.9788461538461;5892.767307692307;;;520;0;1989-10-01
1989-11;874.058524173028;6260.944020356234;;;393;0;1989-11-01
1989-12;819.1525423728814;5878.756355932203;;;472;0;1989-12-01
1990-01;836.9868073878628;6004.382585751979;;;379;0;1990-01-01
1990-02;812.0737100737101;5846.636363636364;;;407;0;1990-02-01
1990-03;855.2269129287599;6186.424802110818;;;379;0;1990-03-01
1990-04;847.9831932773109;6079.78781512605;;;476;0;1990-04-01
1990-05;818.4083769633507;5872.539267015707;;;382;0;1990-05-01
1990-06;842.7945205479452;6048.378082191781;;;365;0;1990-06-01
1990-07;846.3775280898876;6034.959550561798;;;445;0;1990-07-01
1990-08;834.2506738544474;5993.293800539083;;;371;0;1990-08-01
1990-09;835.1262135922331;6004.079611650485;;;515;0;1990-09-01
1990-10;818.2165450121654;5894.39902676399;;;411;0;1990-10-01
1990-11;884.6842105263158;6298.609022556391;;;399;0;1990-11-01
1990-12;841.8814317673379;6057.485458612975;;;447;0;1990-12-01
1991-01;845.4921052631579;6063.368421052632;;;380;0;1991-01-01
1991-02;868.2076923076924;6244.084615384615;;;390;0;1991-02-01
1991-03;813.48310139165;5836.976143141153;;;503;0;1991-03-01
1991-04;827.1925;5919.28;;;400;0;1991-04-01
1991-05;815.7125;5857.0825;;;400;0;1991-05-01
1991-06;816.7577639751553;5849.302277432712;;;483;0;1991-06-01
1991-07;812.6684210526316;5833.757894736842;;;380;0;1991-07-01
1991-08;799.8232323232323;5756.578282828283;;;396;0;1991-08-01
1991-09;840.3565573770492;6051.930327868852;;;488;0;1991-09-01
1991-10;808.1811764705882;5794.7364705882355;;;425;0;1991-10-01
1991-11;828.3251231527094;5970.3448275862065;;;406;0;1991-11-01
1991-12;794.983367983368;5712.081081081081;;;481;0;1991-12-01
1992-01;803.4775725593668;5787.372031662269;;;379;0;1992-01-01
1992-02;781.3879518072289;5620.997590361446;;;415;0;1992-02-01
1992-03;801.912109375;5763.650390625;;;512;0;1992-03-01
1992-04;798.2035175879397;5749.665829145729;;;398;0;1992-04-01
1992-05;801.3581213307241;5740.187866927593;;;511;0;1992-05-01
1992-06;747.7912621359224;5346.577669902913;;;412;0;1992-06-01
1992-07;729.6635944700461;5189.9861751152075;;;434;0;1992-07-01
1992-08;718.7190388170055;5146.935304990758;;;541;0;1992-08-01
1992-09;743.7117516629712;5306.858093126386;;;451;0;1992-09-01
1992-10;741.3415730337078;5301.986516853933;;;445;0;1992-10-01
1992-11;722.8507718696397;5193.81475128645;;;583;0;1992-11-01
1992-12;684.7421524663677;4919.161434977578;;;446;0;1992-12-01
1993-01;684.4795539033457;4924.221189591078;;;538;0;1993-01-01
1993-02;709.0742358078603;5096.609170305677;;;458;0;1993-02-01
1993-03;636.2266401590457;4580.312127236581;;;503;0;1993-03-01
1993-04;658.739224137931;4765.8125;;;464;0;1993-04-01
1993-05;618.6318327974277;4427.003215434083;;;622;0;1993-05-01
1993-06;612.0923694779117;4399.4658634538155;;;498;0;1993-06-01
1993-07;621.9917525773196;4445.19381443299;;;485;0;1993-07-01
1993-08;604.8538961038961;4327.978896103896;;;616;0;1993-08-01
