jahr;quelle;schlagwort;anzahl;autor;autor_anzahl;rubrik;rubrik_anzahl
;;;;Michaela Schießl;1;;
;;;;Sohail Nasir;1;;
;;;;Martin U. Müller;1;;
;;;;Hilmar Schmundt;1;;
;;;;Hans Hoyng;1;;
;;;;Hasnain Kazim;1;;
;;;;Cordula Meyer;1;;
;;;;Marc Hujer;1;;
;;;;Andreas Lorenz;1;;
;;;;Walter Mayr;1;;
;;;;Alexander Smoltczyk;1;;
;;;;Daniel Steinvorth;1;;
;;;;;;panorama;1
;;;;;;politik;23
;;;;;;wirtschaft;1
;;;;;;kultur;1
2009;SPIEGEL;anschlag;36;;;;
;;;;Erich Follath;5;;
;;;;John Goetz;3;;
;;;;Volkhard Windfuhr;1;;
;;;;Bernhard Zand;2;;
;;;;Gabor Steingart;4;;
;;;;Klaus Brinkbäumer;2;;
;;;;Britta Sandberg;5;;
;;;;Holger Stark;4;;
;;;;keinAutor;15;;
;;;;Susanne Koelbl;6;;
;;;;Matthias Schepp;1;;
;;;;Hans-Jürgen Schlamp;1;;
;;;;Alexander Szandar;2;;
;;;;Gregor Peter Schmitz;3;;
;;;;Frank Dohmen;1;;
;;;;Thomas Tuma;1;;
;;;;Dieter Bednarz;2;;
;;;;Mathieu von Rohr;1;;
;;;;Gerhard Spörl;1;;
;;;;Ulrike Demmer;2;;
;;;;Konstantin von Hammerstein;1;;
;;;;Ralf Beste;1;;
;;;;Matthias Gebauer;1;;
;;;;Dirk Kurbjuweit;1;;
;;;;Sohail Nasir;1;;
;;;;Jürgen Dahlkamp;1;;
;;;;Yassin Musharbash;2;;
;;;;Marcel Rosenbach;1;;
;;;;Hans Hoyng;1;;
;;;;Hasnain Kazim;1;;
;;;;Mathias Müller von Blumencron;1;;
;;;;;;panorama;2
;;;;;;kultur;4
;;;;;;politik;29
;;;;;;wirtschaft;1
2009;SPIEGEL;attacke;7;;;;
;;;;Cordula Meyer;1;;
;;;;Gregor Peter Schmitz;1;;
;;;;Gabor Steingart;1;;
;;;;John Goetz;1;;
;;;;Marcel Rosenbach;2;;
;;;;Alexander Szandar;2;;
;;;;keinAutor;4;;
;;;;Ulrike Demmer;1;;
;;;;Dirk Kurbjuweit;1;;
;;;;;;politik;6
;;;;;;kultur;1
2009;SPIEGEL;attentat;13;;;;
;;;;Erich Follath;2;;
;;;;John Goetz;1;;
;;;;Volkhard Windfuhr;1;;
;;;;Bernhard Zand;1;;
;;;;keinAutor;7;;
;;;;Matthias Gebauer;1;;
;;;;Yassin Musharbash;1;;
;;;;Marcel Rosenbach;1;;
;;;;Holger Stark;3;;
;;;;Britta Sandberg;1;;
;;;;Matthias Bartsch;1;;
;;;;Frank Dohmen;1;;
;;;;Christoph Pauly;1;;
;;;;Wolfgang Reuter;1;;
;;;;Jürgen Dahlkamp;1;;
;;;;Hans-Jürgen Schlamp;1;;
;;;;;;panorama;2
;;;;;;politik;9
;;;;;;wirtschaft;1
;;;;;;kultur;1
2009;SPIEGEL;tat;34;;;;
;;;;Erich Follath;4;;
;;;;John Goetz;2;;
;;;;Volkhard Windfuhr;2;;
;;;;Bernhard Zand;3;;
;;;;keinAutor;15;;
;;;;Cordula Meyer;2;;
;;;;Gregor Peter Schmitz;3;;
;;;;Gabor Steingart;5;;
;;;;Stefan Berg;1;;
;;;;Christoph Schult;1;;
;;;;Alexander Smoltczyk;1;;
;;;;Michael Sontheimer;1;;
;;;;Peter Wensierski;1;;
;;;;Petra Bornhöft;1;;
;;;;Michael Sauga;1;;
;;;;Hans Hoyng;2;;
;;;;Britta Sandberg;2;;
;;;;Dieter Bednarz;2;;
;;;;Frank Dohmen;1;;
;;;;Thomas Tuma;1;;
;;;;Mathieu von Rohr;1;;
;;;;Gerhard Spörl;1;;
;;;;Beat Balzli;1;;
;;;;Michaela Schießl;1;;
;;;;Thomas Darnstädt;1;;
;;;;Frank Hornig;1;;
;;;;Martin U. Müller;1;;
;;;;Marcel Rosenbach;1;;
;;;;Hilmar Schmundt;1;;
;;;;Hasnain Kazim;1;;
;;;;Susanne Koelbl;1;;
;;;;Matthias Bartsch;1;;
;;;;Christoph Pauly;1;;
;;;;Yassin Musharbash;1;;
;;;;Christoph Biermann;1;;
;;;;Rafaela von Bredow;1;;
;;;;Klaus Brinkbäumer;1;;
;;;;Cathrin Gilbert;1;;
;;;;Maik Großekathöfer;1;;
;;;;Detlef Hacke;1;;
;;;;Beate Lakotta;1;;
;;;;Gerhard Pfeil;1;;
;;;;Frank Thadeusz;1;;
;;;;Markus Verbeet;1;;
;;;;Mathias Müller von Blumencron;1;;
;;;;Dirk Kurbjuweit;1;;
;;;;Merlind Theile;1;;
;;;;;;panorama;1
;;;;;;politik;26
;;;;;;kultur;4
;;;;;;wirtschaft;3
2009;SPIEGEL;terrorakt;1;;;;
;;;;keinAutor;1;;
;;;;;;politik;1
2009;SPIEGEL;überfall;5;;;;
;;;;keinAutor;3;;
;;;;Erich Follath;1;;
;;;;Susanne Koelbl;1;;
;;;;Matthias Schepp;1;;
;;;;Hans-Jürgen Schlamp;1;;
;;;;Alexander Szandar;1;;
;;;;Matthias Gebauer;1;;
;;;;Clemens Höges;1;;
;;;;Simone Kaiser;1;;
;;;;Yassin Musharbash;1;;
;;;;Sven Röbel;1;;
;;;;Holger Stark;1;;
;;;;Peter Wensierski;1;;
;;;;Volkhard Windfuhr;1;;
;;;;Steffen Winter;1;;
;;;;;;politik;5
2009;STERN;aggression;1;;;;
;;;;AP · DPA · Reuters;1;;
;;;;DPA/AP/AFP/Reuters;1;;
;;;;;;politik, ausland;1
2009;STERN;aktion;11;;;;
;;;;Ulrike von Bülow;1;;
;;;;print;4;;
;;;;Bearbeitet von Frank Gerstenberg;1;;
;;;;Tilman Gerwien;1;;
;;;;Steffen Gassel;1;;
;;;;keinAutor;2;;
;;;;Sophie Albers Ben Chamo;2;;
;;;;AP · DPA;1;;
;;;;AP/DPA;1;;
;;;;;;kultur, film, oscar;1
;;;;;;panorama, weltgeschehen;1
;;;;;;gesellschaft;2
;;;;;;politik, wahl;1
;;;;;;politik, ausland;1
;;;;;;lifestyle, mode;1
;;;;;;kultur, film;2
;;;;;;politik, deutschland;2
2009;STERN;angriff;13;;;;
;;;;AP · DPA;3;;
;;;;AP/DPA;2;;
;;;;AFP;2;;
;;;;print;1;;
;;;;AP · Reuters;1;;
;;;;AP/Reuters;1;;
;;;;keinAutor;2;;
;;;;DPA;2;;
;;;;Sophie Albers Ben Chamo;2;;
;;;;nik mit Agenturen;1;;
;;;;AP;2;;
;;;;AFP/AP/DPA;1;;
;;;;;;politik, ausland;5
;;;;;;panorama, weltgeschehen;2
;;;;;;digital, computer;1
;;;;;;lifestyle, leute;1
;;;;;;kultur, film;1
;;;;;;politik, deutschland;2
;;;;;;panorama;1
2009;STERN;anschlag;27;;;;
;;;;AP;4;;
;;;;AP/AFP;1;;
;;;;print;4;;
;;;;AP · DPA;1;;
;;;;DPA/AP;1;;
;;;;AP · Reuters;1;;
;;;;AP/Reuters;1;;
;;;;keinAutor;6;;
;;;;Interview: Martin Knobbe;1;;
;;;;Interview: A. Hoffmann, A. Hoidn-Borchers und A. Petzold;1;;
;;;;DPA;7;;
;;;;Dorothea Hülsmeier, DPA;1;;
;;;;mit Agenturen;1;;
;;;;Devlin Barrett/AP;1;;
;;;;APD;2;;
;;;;Reuters;2;;
;;;;dpa/Reuters/AFP/lk;2;;
;;;;AFP;2;;
;;;;AP · DPA · Reuters;2;;
;;;;DPA/AP/AFP/Reuters;2;;
;;;;;;panorama, verbrechen;8
;;;;;;politik, deutschland;5
;;;;;;panorama, weltgeschehen;1
;;;;;;politik, ausland;9
;;;;;;kultur, tv;2
;;;;;;panorama;2
2009;STERN;attacke;4;;;;
;;;;print;2;;
;;;;Interview: A. Hoffmann, A. Hoidn-Borchers und A. Petzold;1;;
;;;;Sophie Albers Ben Chamo;1;;
;;;;keinAutor;1;;
;;;;;;panorama, weltgeschehen;1
;;;;;;politik, deutschland;2
;;;;;;kultur, film;1
2009;STERN;attentat;10;;;;
;;;;AP · DPA;1;;
;;;;DPA/AP;1;;
;;;;keinAutor;3;;
;;;;print;1;;
;;;;DPA;2;;
;;;;Reuters;2;;
;;;;dpa/Reuters/AFP/lk;2;;
;;;;AP · DPA · Reuters;2;;
;;;;DPA/AP/AFP/Reuters;2;;
;;;;;;politik, deutschland;2
;;;;;;gesellschaft;1
;;;;;;panorama, verbrechen;3
;;;;;;panorama, weltgeschehen;1
;;;;;;politik, ausland;3
2009;STERN;tat;14;;;;
;;;;keinAutor;3;;
;;;;DPA;9;;
;;;;Interview: Martin Knobbe;1;;
;;;;print;1;;
;;;;Interview: A. Hoffmann, A. Hoidn-Borchers und A. Petzold;1;;
;;;;Mitarbeit: Anika Baldzun;1;;
;;;;AP · DPA;1;;
;;;;zen/DPA/AFP/AP;1;;
;;;;AP;1;;
;;;;Devlin Barrett/AP;1;;
;;;;APD;2;;
;;;;Gregor Mayer, DPA;1;;
;;;;;;kultur, tv;1
;;;;;;politik, ausland;4
;;;;;;gesellschaft;1
;;;;;;panorama, verbrechen;3
;;;;;;politik, deutschland;1
;;;;;;panorama;3
;;;;;;panorama, weltgeschehen;1
2009;STERN;terrorakt;3;;;;
;;;;DPA;2;;
;;;;APD;2;;
;;;;Reuters;1;;
;;;;dpa/Reuters/AFP/lk;1;;
;;;;;;politik, ausland;1
;;;;;;panorama;1
;;;;;;panorama, verbrechen;1
2009;STERN;überfall;4;;;;
;;;;print;3;;
;;;;AP · Reuters;1;;
;;;;AP/Reuters;1;;
;;;;;;panorama, weltgeschehen;1
;;;;;;politik, ausland;2
;;;;;;kultur, buecher;1
